street_name,price,area,air_conditioning,fridge,washing_machine,mezzanine,kitchen,wardrobe,bed,balcony,elevator,free_time,parking,district,month,latitude,longitude,dist_to_q1_km,district_median_price,is_hot_street,amenity_ratio
Nguyễn Hồng Đào,3.6,30.0,1,0,0,0,1,1,1,0,0,0,0,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.36363636363636365
Số,5.5,35.0,1,0,0,0,0,0,0,0,1,1,0,Quận 10,6,10.7725282,106.6682021,3.4472229926353735,4.5,0,0.2727272727272727
Bùi Đình Túy,4.9,25.0,0,0,0,0,0,0,0,0,0,1,0,Quận Bình Thạnh,6,10.812271,106.7040393,4.128798019662786,4.8,0,0.09090909090909091
Số,5.8,40.0,0,0,1,0,1,0,0,1,0,0,0,Quận 2,6,10.7912168,106.7619557,7.032141129098322,4.2,0,0.2727272727272727
Phạm Văn Đồng,3.5,28.0,0,0,0,0,0,0,0,0,0,1,0,Thủ Đức,6,10.8510238,106.7548953,10.35199028747128,3.0,0,0.09090909090909091
Tân Thới Nhất,2.1,20.0,0,0,1,0,0,0,0,0,0,0,1,Quận 12,6,10.8612653,106.6642083,10.30222218105053,3.0,0,0.18181818181818182
Phạm Ngũ Lão,3.0,22.0,1,0,0,0,0,0,0,0,0,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.09090909090909091
Số 3,3.4,28.0,1,0,1,0,0,0,0,0,0,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.18181818181818182
Thống Nhất Đưường Số,4.2,30.0,1,1,0,1,0,0,1,1,0,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.45454545454545453
Lê Lợi,5.2,30.0,0,0,0,0,0,0,0,0,1,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,1,0.09090909090909091
Trịnh Đình Thảo,3.9,30.0,0,0,0,0,0,0,0,0,0,1,0,Quận Tân Phú,6,10.7918681,106.6277515,8.06170727164738,3.6,0,0.09090909090909091
Lê Đại Hành,4.3,27.0,0,0,0,1,1,0,0,0,1,1,1,Quận 10,6,10.7725282,106.6682021,3.4472229926353735,4.5,0,0.45454545454545453
Phan Văn Trị,0.99,35.0,1,1,1,0,1,0,0,0,0,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.36363636363636365
Phan Văn Trị,1.0,35.0,1,1,1,0,1,0,1,1,0,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.5454545454545454
Quang Trung,4.2,42.0,1,0,0,0,1,1,1,0,0,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.36363636363636365
Năm Châu,4.7,25.0,0,0,0,0,1,1,0,1,1,1,0,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.45454545454545453
Unknown,1.8,24.0,0,0,0,0,0,0,0,0,0,0,0,Huyện Bình Chánh,6,10.6950833,106.5909297,13.961071149624273,3.5,0,0.0
Phan Văn Đối,2.2,25.0,0,0,1,0,0,0,0,0,0,0,0,Huyện Hóc Môn,6,10.8777329,106.5760523,13.961071149624273,2.3,0,0.09090909090909091
Thới Tứ,1.4,16.0,0,0,0,0,0,0,0,0,0,0,0,Huyện Hóc Môn,6,10.8777329,106.5760523,13.961071149624273,2.3,0,0.0
Số 27,5.5,40.0,0,1,0,0,1,0,0,0,1,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.2727272727272727
Trần Minh Quyền,5.0,20.0,0,1,0,0,1,0,1,0,1,1,0,Quận 10,6,10.7725282,106.6682021,3.4472229926353735,4.5,0,0.45454545454545453
Nguyễn Thị Tú,2.8,20.0,0,0,1,0,0,0,0,0,1,1,1,Quận Bình Tân,6,10.7704159,106.5995401,10.946786715251639,3.0,0,0.36363636363636365
Trung Chánh,2.4,25.0,1,1,1,0,1,0,1,0,0,1,0,Quận 12,6,10.8612653,106.6642083,10.30222218105053,3.0,0,0.5454545454545454
Tăng Nhơn Phú,4.2,28.0,1,0,0,1,0,0,0,0,1,0,1,Quận 9,6,10.8441928,106.7791529,11.574703424951835,3.3,0,0.36363636363636365
Số,4.5,27.0,0,0,0,0,0,0,0,1,0,0,0,Thủ Đức,6,10.8510238,106.7548953,10.35199028747128,3.0,0,0.09090909090909091
Linh Đông,4.0,27.0,0,0,0,0,0,0,0,1,0,1,0,Thủ Đức,6,10.8510238,106.7548953,10.35199028747128,3.0,1,0.18181818181818182
Trần Chánh Chiếu,4.6,28.0,0,0,0,0,0,0,0,1,0,1,0,Quận 5,6,10.7558252,106.6683021,4.054910944499208,3.8,0,0.18181818181818182
Tùng Thiện Vương,3.6,28.0,1,0,0,0,0,0,0,0,0,1,0,Quận 8,6,10.7211158,106.6292079,9.777699913085529,3.8,0,0.18181818181818182
Hồng Bàng,3.5,30.0,1,0,0,0,0,0,0,0,1,1,0,Quận 6,6,10.7458901,106.6391994,7.371171471389253,3.6,0,0.2727272727272727
Phạm Văn Chiêu,3.5,25.0,1,0,0,0,1,1,1,0,0,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.36363636363636365
